Permis_Numéro,Permis_Date_de_début,Permis_Date_de_fin,Gardien_Territoire_ex_villes,Animal_Type_de_permis,Animal_Nom,Animal_Catégorie_race_primaire_de_chiens,Animal_Race_primaire_des_chiens,Animal_Race_croisé_des_chiens,Animal_Sexe,Animal_Couleur,Animal_Date_de_naissance,Animal_Vaccination,Animal_Stérilisation,Animal_Poids_kg,Animal_Micropuce,Animal_Potentiellement_dangereux
166176,2021-07-08,2024-07-07,Sainte-Rose,Chien,Valentin,Chiens de compagnie,Caniche moyen,Autre,Mâle,Abricot,2005-04-11,1,1,6.9,1,0
69132,2022-05-17,2023-05-17,Sainte-Dorothée,Chat,Bagou,,,,Mâle,Gris,2007-12-19,0,1,0,1,0
182601,2022-09-01,2023-09-01,Sainte-Dorothée,Chien,Max,Chiens de sport,Épagneul breton,Autre,Mâle,"Blanc, Noir",2020-12-17,0,1,14,0,0
179631,2022-01-20,2023-01-19,Laval-des-Rapides,Chien,Alie,Chiens de sport,retriever labrador,,Femelle,Noir et blanc,2015-05-30,1,1,30,1,0
161206,2022-01-26,2023-01-25,Sainte-Rose,Chien,Bulle Châtelain,Chiens nains,Bichon maltais,Autre,Mâle,Beige,2016-02-11,1,1,5.53,1,0
163038,2022-03-12,2023-03-12,Îles-Laval,Chien,Koffi,Indéterminé,Bouledogue américain,,Mâle,Taupe,2017-12-22,0,1,0,1,0
65683,2022-05-04,2023-05-03,Fabreville,Chat,Sweety,,,Autre,Femelle,gris et beige,2018-07-30,1,1,1.91,1,0
181247,2022-02-10,2023-02-09,Chomedey,Chien,Pyke,Chiens de travail,Husky sibérien,,Mâle,noir et blanc,2021-12-27,0,0,9,0,0
160711,2022-03-03,2023-03-02,Chomedey,Chien,Gracie,,Dachshound teckel a poil long,,Femelle,Tricolor,2009-05-04,1,1,4.7,1,0
69182,2022-06-28,2023-06-28,Sainte-Rose,Chat,Sultane,,Domestique,,Mâle,Gris blanc,2020-10-20,0,0,3,1,0
181307,2022-02-28,2023-02-27,Chomedey,Chien,Mystiq,Chiens de travail,Doberman Pinscher,,Femelle,brune,2021-12-30,0,0,4,0,0
160789,2022-01-18,2023-01-17,Pont-Viau,Chien,Suni,Chiens de sport,retriever doré,,Femelle,Noir,2015-01-08,1,1,27,1,0
63242,2021-01-11,2024-01-10,Saint-François,Chat,Ti-Gars,,Domestique,,Mâle,tabby blanc,2015-11-01,1,1,3,1,0
172697,2022-07-05,2023-07-04,Fabreville,Chien,Milos,Chiens de compagnie,Caniche moyen,Autre,Mâle,Roux,2018-12-29,0,1,0,1,0
